id,isolate,country,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),,,,,,,,,,,LIN2,LIN3,LIN4
31984,08_590_00123,Guinea-Bissau,960,1_1_17_0_1_0_0_0_1_0_0,1,1,17,0,1,0,0,0,1,0,0,1_1,1_1_17,1_1_17_0
31985,08_590_125,Guinea-Bissau,961,1_1_17_0_2_0_0_0_0_0_0,1,1,17,0,2,0,0,0,0,0,0,1_1,1_1_17,1_1_17_0
31986,08_590_00126,Guinea-Bissau,962,0_12_5_0_1_0_0_0_0_0_0,0,12,5,0,1,0,0,0,0,0,0,0_12,0_12_5,0_12_5_0
31987,08_590_00127,Guinea-Bissau,963,1_1_17_0_1_0_0_1_0_0_0,1,1,17,0,1,0,0,1,0,0,0,1_1,1_1_17,1_1_17_0
31988,08_590_00128,Guinea-Bissau,964,1_1_38_0_1_0_0_0_0_0_0,1,1,38,0,1,0,0,0,0,0,0,1_1,1_1_38,1_1_38_0
31989,08_590_00129,Guinea-Bissau,965,1_1_17_0_1_0_0_0_0_0_0,1,1,17,0,1,0,0,0,0,0,0,1_1,1_1_17,1_1_17_0
31990,08_590_00130,Guinea-Bissau,966,1_1_17_0_0_0_0_0_0_0_0,1,1,17,0,0,0,0,0,0,0,0,1_1,1_1_17,1_1_17_0
31991,08_590_00131,Guinea-Bissau,967,15_0_0_0_0_0_0_0_0_0_0,15,0,0,0,0,0,0,0,0,0,0,15_0,15_0_0,15_0_0_0
31992,08_590_00132,Guinea-Bissau,968,1_1_38_0_0_1_0_0_0_0_0,1,1,38,0,0,1,0,0,0,0,0,1_1,1_1_38,1_1_38_0
31993,08_590_00133,Guinea-Bissau,969,1_1_17_0_1_1_0_0_0_0_0,1,1,17,0,1,1,0,0,0,0,0,1_1,1_1_17,1_1_17_0
31994,08_590_00134,Guinea-Bissau,968,1_1_38_0_0_1_0_0_0_0_0,1,1,38,0,0,1,0,0,0,0,0,1_1,1_1_38,1_1_38_0
31995,08_590_00135,Guinea-Bissau,970,1_1_38_0_0_0_0_0_0_0_0,1,1,38,0,0,0,0,0,0,0,0,1_1,1_1_38,1_1_38_0
31996,08_590_00136,Guinea-Bissau,971,0_9_0_3_0_0_0_0_0_0_0,0,9,0,3,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_3
31997,08_590_00141,Guinea-Bissau,972,0_9_0_1_0_0_0_0_0_0_0,0,9,0,1,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_1
31998,08_590_00142,Guinea-Bissau,973,15_0_0_0_1_0_0_0_0_0_0,15,0,0,0,1,0,0,0,0,0,0,15_0,15_0_0,15_0_0_0
31999,08_590_00143,Guinea-Bissau,974,1_1_36_0_0_0_0_0_0_0_0,1,1,36,0,0,0,0,0,0,0,0,1_1,1_1_36,1_1_36_0
32000,08_590_00144,Guinea-Bissau,975,8_0_0_0_0_0_0_0_0_0_0,8,0,0,0,0,0,0,0,0,0,0,8_0,8_0_0,8_0_0_0
32001,08_590_00145,Guinea-Bissau,976,11_0_1_1_0_0_0_0_0_0_0,11,0,1,1,0,0,0,0,0,0,0,11_0,11_0_1,11_0_1_1
32002,08_590_00146,Guinea-Bissau,977,0_9_0_2_0_0_0_0_0_0_0,0,9,0,2,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_2
32007,08_590_00153,Guinea-Bissau,982,1_1_36_0_1_0_0_0_0_0_0,1,1,36,0,1,0,0,0,0,0,0,1_1,1_1_36,1_1_36_0
32008,08_590_00154,Guinea-Bissau,983,1_1_17_0_1_2_0_0_0_0_0,1,1,17,0,1,2,0,0,0,0,0,1_1,1_1_17,1_1_17_0
32009,08_590_00156,Guinea-Bissau,984,1_1_17_1_0_0_0_0_0_0_0,1,1,17,1,0,0,0,0,0,0,0,1_1,1_1_17,1_1_17_1
32010,08_590_00157,Guinea-Bissau,985,1_1_27_3_0_0_0_0_0_0_0,1,1,27,3,0,0,0,0,0,0,0,1_1,1_1_27,1_1_27_3
32011,08_590_00138_pg_r,Guinea-Bissau,986,8_0_0_0_1_0_0_0_0_0_0,8,0,0,0,1,0,0,0,0,0,0,8_0,8_0_0,8_0_0_0
36238,51212,Kenya,1066,0_16_0_1_12_0_0_0_0_0_0,0,16,0,1,12,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36239,T004,Kenya,1067,1_1_11_1_0_0_0_0_0_0_0,1,1,11,1,0,0,0,0,0,0,0,1_1,1_1_11,1_1_11_1
36240,52262,Kenya,1068,0_0_47_5_13_0_0_0_0_0_0,0,0,47,5,13,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
36241,T006,Kenya,1069,0_18_6_0_0_0_0_0_0_0_0,0,18,6,0,0,0,0,0,0,0,0,0_18,0_18_6,0_18_6_0
36242,T007,Kenya,1070,0_0_33_46_3_0_0_0_0_0_0,0,0,33,46,3,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
36243,57547,Kenya,1071,0_16_0_1_5_0_0_0_0_0_0,0,16,0,1,5,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36244,56873,Kenya,1072,0_16_0_2_2_2_0_0_0_0_0,0,16,0,2,2,2,0,0,0,0,0,0_16,0_16_0,0_16_0_2
36245,44568,Kenya,1073,0_0_47_9_0_1_0_0_0_0_0,0,0,47,9,0,1,0,0,0,0,0,0_0,0_0_47,0_0_47_9
36246,61467,Kenya,1074,0_16_0_1_0_0_0_0_0_0_0,0,16,0,1,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36247,62017,Kenya,1075,0_16_4_0_1_3_0_0_1_0_0,0,16,4,0,1,3,0,0,1,0,0,0_16,0_16_4,0_16_4_0
36248,43305,Kenya,1076,0_16_0_2_0_0_0_0_0_0_0,0,16,0,2,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_2
36249,51451,Kenya,1077,0_16_0_1_4_0_0_0_0_0_0,0,16,0,1,4,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36250,58767,Kenya,1078,0_0_33_46_9_0_0_0_0_0_0,0,0,33,46,9,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
36251,63179,Kenya,1079,0_2_55_0_0_0_0_0_0_0_0,0,2,55,0,0,0,0,0,0,0,0,0_2,0_2_55,0_2_55_0
36252,T032,Kenya,1080,1_1_11_0_0_0_0_0_0_0_0,1,1,11,0,0,0,0,0,0,0,0,1_1,1_1_11,1_1_11_0
36253,61450,Kenya,1081,0_16_0_1_9_0_0_0_0_0_0,0,16,0,1,9,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36254,T034,Kenya,1082,0_0_33_46_6_0_0_0_0_0_0,0,0,33,46,6,0,0,0,0,0,0,0_0,0_0_33,0_0_33_46
36255,45453,Kenya,1083,0_16_0_2_2_1_0_0_0_1_0,0,16,0,2,2,1,0,0,0,1,0,0_16,0_16_0,0_16_0_2
36256,45676,Kenya,1084;1110,0_16_0_1_0_2_0_1_0_0_0,0,16,0,1,0,2,0,1,0,0,0,0_16,0_16_0,0_16_0_1
36257,51960,Kenya,1085,11_0_2_2_0_0_0_0_0_0_0,11,0,2,2,0,0,0,0,0,0,0,11_0,11_0_2,11_0_2_2
36258,T041,Kenya,1086,0_16_0_1_4_1_0_0_0_0_0,0,16,0,1,4,1,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36259,61580,Kenya,1087,0_16_0_1_0_3_0_0_0_0_0,0,16,0,1,0,3,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36260,T047,Kenya,,,,,,,,,,,,,,_,__,___
36261,48871,Kenya,,,,,,,,,,,,,,_,__,___
36262,T049,Kenya,1088;1090,0_18_6_1_0_0_0_0_0_1_0,0,18,6,1,0,0,0,0,0,1,0,0_18,0_18_6,0_18_6_1
36263,48501,Kenya,1089,0_16_0_2_1_0_0_0_0_0_0,0,16,0,2,1,0,0,0,0,0,0,0_16,0_16_0,0_16_0_2
36264,T052,Kenya,1090,0_18_6_1_0_0_0_0_0_1_0,0,18,6,1,0,0,0,0,0,1,0,0_18,0_18_6,0_18_6_1
36265,T053,Kenya,1091,0_16_0_1_8_0_0_0_0_0_0,0,16,0,1,8,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36266,60096,Kenya,1092,0_16_0_3_0_0_0_0_0_0_0,0,16,0,3,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_3
36267,55496,Kenya,1093,0_0_47_5_11_0_0_1_0_0_0,0,0,47,5,11,0,0,1,0,0,0,0_0,0_0_47,0_0_47_5
36268,T060,Kenya,1094,0_18_6_0_0_0_0_0_0_1_0,0,18,6,0,0,0,0,0,0,1,0,0_18,0_18_6,0_18_6_0
36269,52263,Kenya,1095,0_16_0_6_0_0_0_0_0_0_0,0,16,0,6,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_6
36270,59688,Kenya,1096,0_0_36_0_1_0_0_0_0_0_0,0,0,36,0,1,0,0,0,0,0,0,0_0,0_0_36,0_0_36_0
36271,50659,Kenya,1097,0_16_1_2_0_0_0_0_0_0_0,0,16,1,2,0,0,0,0,0,0,0,0_16,0_16_1,0_16_1_2
36272,T064,Kenya,1098,0_16_0_1_15_0_0_0_0_0_0,0,16,0,1,15,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36273,55798,Kenya,1099,0_16_0_6_0_0_0_0_0_1_0,0,16,0,6,0,0,0,0,0,1,0,0_16,0_16_0,0_16_0_6
36274,63518,Kenya,1100,0_16_4_0_5_0_0_0_0_0_0,0,16,4,0,5,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
36275,51468,Kenya,1101,0_16_0_3_0_1_0_0_0_0_0,0,16,0,3,0,1,0,0,0,0,0,0_16,0_16_0,0_16_0_3
36276,51645,Kenya,1102,0_0_47_5_7_1_0_0_0_0_0,0,0,47,5,7,1,0,0,0,0,0,0_0,0_0_47,0_0_47_5
36277,59012,Kenya,1103,0_16_4_0_1_3_0_0_0_0_0,0,16,4,0,1,3,0,0,0,0,0,0_16,0_16_4,0_16_4_0
36278,T071,Kenya,1104,0_0_47_10_1_1_0_0_0_0_0,0,0,47,10,1,1,0,0,0,0,0,0_0,0_0_47,0_0_47_10
36279,60243,Kenya,1105,0_0_47_10_1_1_0_0_0_0_0,0,0,47,10,1,1,0,0,0,0,0,0_0,0_0_47,0_0_47_10
36280,47956,Kenya,1106,0_16_0_1_8_0_0_0_0_1_0,0,16,0,1,8,0,0,0,0,1,0,0_16,0_16_0,0_16_0_1
36281,47686,Kenya,1107,0_16_0_1_4_0_0_0_1_0_0,0,16,0,1,4,0,0,0,1,0,0,0_16,0_16_0,0_16_0_1
36282,45029,Kenya,1108,0_12_7_4_0_0_0_0_0_2_0,0,12,7,4,0,0,0,0,0,2,0,0_12,0_12_7,0_12_7_4
36283,47147,Kenya,1109,0_16_0_2_2_1_0_0_0_3_0,0,16,0,2,2,1,0,0,0,3,0,0_16,0_16_0,0_16_0_2
36284,44593,Kenya,1110,0_16_0_1_0_2_0_1_0_0_0,0,16,0,1,0,2,0,1,0,0,0,0_16,0_16_0,0_16_0_1
36285,43346,Kenya,1111,0_0_47_5_11_1_0_0_0_0_0,0,0,47,5,11,1,0,0,0,0,0,0_0,0_0_47,0_0_47_5
36286,T083,Kenya,1112,0_0_47_5_9_0_0_0_0_0_0,0,0,47,5,9,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
36287,43781,Kenya,1113,0_0_47_9_0_1_0_0_0_0_0,0,0,47,9,0,1,0,0,0,0,0,0_0,0_0_47,0_0_47_9
36288,T087,Kenya,,,,,,,,,,,,,,_,__,___
36289,42974,Kenya,1114,0_0_47_5_11_0_0_0_0_0_0,0,0,47,5,11,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
36290,47983,Kenya,1115,0_0_47_5_8_0_0_0_0_0_0,0,0,47,5,8,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
36291,60755,Kenya,1116;9806,0_0_33_45_0_0_0_0_0_0_0,0,0,33,45,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_45
36292,60709,Kenya,1117,0_0_47_10_1_1_0_0_0_0_0,0,0,47,10,1,1,0,0,0,0,0,0_0,0_0_47,0_0_47_10
36293,43000,Kenya,1118,0_0_47_9_0_0_0_0_0_0_0,0,0,47,9,0,0,0,0,0,0,0,0_0,0_0_47,0_0_47_9
36294,43038,Kenya,1119,0_0_47_9_0_0_0_0_1_0_0,0,0,47,9,0,0,0,0,1,0,0,0_0,0_0_47,0_0_47_9
36295,46146,Kenya,1120,0_0_47_12_0_0_0_0_0_0_0,0,0,47,12,0,0,0,0,0,0,0,0_0,0_0_47,0_0_47_12
36296,44569,Kenya,1121,0_0_47_9_0_1_0_0_0_1_0,0,0,47,9,0,1,0,0,0,1,0,0_0,0_0_47,0_0_47_9
36297,52492,Kenya,1122,0_0_47_5_6_0_0_0_1_0_0,0,0,47,5,6,0,0,0,1,0,0,0_0,0_0_47,0_0_47_5
36298,T101,Kenya,1123,0_0_47_9_0_1_0_0_0_0_0,0,0,47,9,0,1,0,0,0,0,0,0_0,0_0_47,0_0_47_9
36299,46445,Kenya,1124,0_16_0_1_0_1_0_0_0_0_0,0,16,0,1,0,1,0,0,0,0,0,0_16,0_16_0,0_16_0_1
36300,T104,Kenya,1125,0_16_0_2_2_0_0_0_0_1_0,0,16,0,2,2,0,0,0,0,1,0,0_16,0_16_0,0_16_0_2
36301,T105,Kenya,1126,0_0_47_10_1_1_0_0_0_0_0,0,0,47,10,1,1,0,0,0,0,0,0_0,0_0_47,0_0_47_10
36302,T106,Kenya,1127,0_16_4_0_1_1_0_0_0_0_0,0,16,4,0,1,1,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39081,64204,Kenya,1703,0_16_4_0_3_0_0_0_0_0_0,0,16,4,0,3,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39082,64500,Kenya,1704,0_0_47_5_6_0_1_0_0_0_0,0,0,47,5,6,0,1,0,0,0,0,0_0,0_0_47,0_0_47_5
39083,64579,Kenya,1705,0_16_4_0_1_2_0_0_0_0_0,0,16,4,0,1,2,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39084,64605,Kenya,1706,0_0_47_10_1_0_0_0_0_0_0,0,0,47,10,1,0,0,0,0,0,0,0_0,0_0_47,0_0_47_10
39085,64680,Kenya,1707,0_16_0_1_11_0_0_0_0_0_0,0,16,0,1,11,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39086,64586,Kenya,1708,0_16_4_0_8_0_0_0_0_0_0,0,16,4,0,8,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39087,64361,Kenya,1709,0_0_47_5_12_0_0_1_0_0_0,0,0,47,5,12,0,0,1,0,0,0,0_0,0_0_47,0_0_47_5
39088,64755,Kenya,1710,0_16_4_0_1_0_0_0_0_0_0,0,16,4,0,1,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39089,64203,Kenya,1703,0_16_4_0_3_0_0_0_0_0_0,0,16,4,0,3,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39090,65080,Kenya,1711,0_0_47_5_0_1_0_0_0_0_0,0,0,47,5,0,1,0,0,0,0,0,0_0,0_0_47,0_0_47_5
39091,65318,Kenya,1706,0_0_47_10_1_0_0_0_0_0_0,0,0,47,10,1,0,0,0,0,0,0,0_0,0_0_47,0_0_47_10
39092,65320,Kenya,1712,0_16_4_0_6_0_0_0_0_0_0,0,16,4,0,6,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39093,65551,Kenya,1713,0_0_47_5_12_0_0_0_0_0_0,0,0,47,5,12,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
39094,65600,Kenya,1714,1_1_34_0_0_0_0_0_0_0_0,1,1,34,0,0,0,0,0,0,0,0,1_1,1_1_34,1_1_34_0
39095,65737,Kenya,1715,0_16_4_0_2_0_0_0_0_0_0,0,16,4,0,2,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39096,56474,Kenya,1716,0_0_47_5_6_0_0_0_0_0_0,0,0,47,5,6,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
39097,56327,Kenya,1717,0_0_33_45_1_0_0_0_0_0_0,0,0,33,45,1,0,0,0,0,0,0,0_0,0_0_33,0_0_33_45
39098,56682,Kenya,1718,1_1_29_0_1_0_0_0_0_0_0,1,1,29,0,1,0,0,0,0,0,0,1_1,1_1_29,1_1_29_0
39099,56835,Kenya,1719,0_16_0_1_2_0_0_0_0_0_0,0,16,0,1,2,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39100,57568,Kenya,1720,0_0_47_5_6_0_0_0_0_1_0,0,0,47,5,6,0,0,0,0,1,0,0_0,0_0_47,0_0_47_5
39101,63971,Kenya,,,,,,,,,,,,,,_,__,___
39102,63748,Kenya,,,,,,,,,,,,,,_,__,___
39103,45858,Kenya,1721,0_16_0_2_2_1_0_0_0_2_0,0,16,0,2,2,1,0,0,0,2,0,0_16,0_16_0,0_16_0_2
39104,45722,Kenya,1722,0_18_6_1_0_0_0_0_0_0_0,0,18,6,1,0,0,0,0,0,0,0,0_18,0_18_6,0_18_6_1
39105,44941,Kenya,1723,0_18_6_1_1_0_0_0_0_0_0,0,18,6,1,1,0,0,0,0,0,0,0_18,0_18_6,0_18_6_1
39106,45388,Kenya,1724,0_16_1_0_0_0_0_0_0_0_0,0,16,1,0,0,0,0,0,0,0,0,0_16,0_16_1,0_16_1_0
39107,45715,Kenya,1725,0_16_0_1_0_2_0_0_0_0_0,0,16,0,1,0,2,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39108,45910,Kenya,1726,0_16_0_2_2_1_0_0_0_0_0,0,16,0,2,2,1,0,0,0,0,0,0_16,0_16_0,0_16_0_2
39109,43208 -1,Kenya,1073;1113;1123;1727,0_0_47_9_0_1_0_0_0_0_0,0,0,47,9,0,1,0,0,0,0,0,0_0,0_0_47,0_0_47_9
39110,43208 -2,Kenya,1073;1113;1123;1727,0_0_47_9_0_1_0_0_0_0_0,0,0,47,9,0,1,0,0,0,0,0,0_0,0_0_47,0_0_47_9
39111,43210,Kenya,1728,0_0_47_5_7_0_0_0_0_0_0,0,0,47,5,7,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
39112,44271,Kenya,1112,0_0_47_5_9_0_0_0_0_0_0,0,0,47,5,9,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
39113,42876,Kenya,1729,0_16_0_1_1_0_0_0_0_0_0,0,16,0,1,1,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39114,44254,Kenya,1730,0_0_47_5_7_0_0_0_0_1_0,0,0,47,5,7,0,0,0,0,1,0,0_0,0_0_47,0_0_47_5
39115,43306,Kenya,1731,0_0_47_5_10_0_0_0_0_0_0,0,0,47,5,10,0,0,0,0,0,0,0_0,0_0_47,0_0_47_5
39116,46745,Kenya,1732,0_16_0_2_6_0_0_0_0_0_0,0,16,0,2,6,0,0,0,0,0,0,0_16,0_16_0,0_16_0_2
39117,47244,Kenya,1109;1733,0_16_0_2_2_1_0_0_0_3_0,0,16,0,2,2,1,0,0,0,3,0,0_16,0_16_0,0_16_0_2
39118,47954,Kenya,1088;1090,0_18_6_1_0_0_0_0_0_1_0,0,18,6,1,0,0,0,0,0,1,0,0_18,0_18_6,0_18_6_1
39119,47547,Kenya,1734,0_2_42_0_0_0_0_0_0_0_0,0,2,42,0,0,0,0,0,0,0,0,0_2,0_2_42,0_2_42_0
39120,47548,Kenya,1735,0_16_0_2_3_0_0_0_0_0_0,0,16,0,2,3,0,0,0,0,0,0,0_16,0_16_0,0_16_0_2
39121,48183,Kenya,1736,0_16_1_1_0_0_0_0_0_0_0,0,16,1,1,0,0,0,0,0,0,0,0_16,0_16_1,0_16_1_1
39122,48763,Kenya,1737,0_0_47_15_0_0_0_0_0_0_0,0,0,47,15,0,0,0,0,0,0,0,0_0,0_0_47,0_0_47_15
39123,48437,Kenya,1738,1_1_29_0_0_0_0_0_0_0_0,1,1,29,0,0,0,0,0,0,0,0,1_1,1_1_29,1_1_29_0
39124,48563,Kenya,1088;1090,0_18_6_1_0_0_0_0_0_1_0,0,18,6,1,0,0,0,0,0,1,0,0_18,0_18_6,0_18_6_1
39125,48848,Kenya,1739,0_18_6_1_0_0_0_0_0_2_0,0,18,6,1,0,0,0,0,0,2,0,0_18,0_18_6,0_18_6_1
39126,48213,Kenya,1091,0_16_0_1_8_0_0_0_0_0_0,0,16,0,1,8,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39127,48502,Kenya,1088;1090,0_18_6_1_0_0_0_0_0_1_0,0,18,6,1,0,0,0,0,0,1,0,0_18,0_18_6,0_18_6_1
39128,48406,Kenya,1067;1740,1_1_11_1_0_0_0_0_0_0_0,1,1,11,1,0,0,0,0,0,0,0,1_1,1_1_11,1_1_11_1
39129,50040,Kenya,1067;1740,1_1_11_1_0_0_0_0_0_0_0,1,1,11,1,0,0,0,0,0,0,0,1_1,1_1_11,1_1_11_1
39130,49506,Kenya,1086;1741,0_16_0_1_4_1_0_0_0_0_0,0,16,0,1,4,1,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39131,49676,Kenya,1742,1_1_11_1_0_0_0_0_0_1_0,1,1,11,1,0,0,0,0,0,1,0,1_1,1_1_11,1_1_11_1
39132,49719,Kenya,1743,0_16_0_2_2_1_0_0_1_0_0,0,16,0,2,2,1,0,0,1,0,0,0_16,0_16_0,0_16_0_2
39133,50869,Kenya,1744,1_1_12_0_0_0_0_0_0_0_0,1,1,12,0,0,0,0,0,0,0,0,1_1,1_1_12,1_1_12_0
39134,51751,Kenya,1071;1745,0_16_0_1_5_0_0_0_0_0_0,0,16,0,1,5,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
39135,52057,Kenya,1095;1746,0_16_0_6_0_0_0_0_0_0_0,0,16,0,6,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_6
39136,52441,Kenya,,,,,,,,,,,,,,_,__,___
39137,65907,Kenya,1747,16_0_0_0_0_0_0_0_0_0_0,16,0,0,0,0,0,0,0,0,0,0,16_0,16_0_0,16_0_0_0
39138,66098,Kenya,1748,0_16_4_0_9_0_0_0_0_0_0,0,16,4,0,9,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
39139,42978,Kenya,1749,0_16_0_2_2_0_0_0_0_0_0,0,16,0,2,2,0,0,0,0,0,0,0_16,0_16_0,0_16_0_2
59511,KNY_NGAMR/9,Kenya,,,,,,,,,,,,,,_,__,___
60436,KNY_NGAMR/1,Kenya,4535,11_0_2_1_0_0_0_0_0_0_0,11,0,2,1,0,0,0,0,0,0,0,11_0,11_0_2,11_0_2_1
60437,KNY_NGAMR9p,Kenya,4536;25820,0_2_55_2_0_0_0_0_0_0_0,0,2,55,2,0,0,0,0,0,0,0,0_2,0_2_55,0_2_55_2
60439,KNY_NGAMR26,Kenya,,,,,,,,,,,,,,_,__,___
60440,KNY_NGAMR27,Kenya,,,,,,,,,,,,,,_,__,___
60441,KNY_NGAMR30p,Kenya,4537,0_0_33_56_0_0_0_0_0_0_0,0,0,33,56,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_56
60442,KNY_NGAMR33,Kenya,4538;31841,1_1_34_0_2_0_0_0_0_0_0,1,1,34,0,2,0,0,0,0,0,0,1_1,1_1_34,1_1_34_0
60501,KNY_NGAMR2,Kenya,4562;32805,4_0_1_0_0_0_0_0_0_0_0,4,0,1,0,0,0,0,0,0,0,0,4_0,4_0_1,4_0_1_0
60502,KNY_NGAMR3,Kenya,4563,0_16_0_1_10_0_0_0_0_0_0,0,16,0,1,10,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
60503,KNY_NGAMR4,Kenya,4564;32806,0_0_36_0_0_0_0_0_0_0_0,0,0,36,0,0,0,0,0,0,0,0,0_0,0_0_36,0_0_36_0
60504,KNY_NGAMR5,Kenya,4565;26443;32807,0_0_47_10_0_0_0_0_0_0_0,0,0,47,10,0,0,0,0,0,0,0,0_0,0_0_47,0_0_47_10
60505,KNY_NGAMR6,Kenya,4566;32808,0_2_55_0_1_0_0_0_0_0_0,0,2,55,0,1,0,0,0,0,0,0,0_2,0_2_55,0_2_55_0
60506,KNY_NGAMR7,Kenya,4567,0_16_4_0_0_0_0_0_0_0_0,0,16,4,0,0,0,0,0,0,0,0,0_16,0_16_4,0_16_4_0
