id,isolate,country,year,'mtrR,NEIS1753(PenA),NG_23S,NG_gyrA,NG_parC,NG_ponA,NG_porB,ST(NG STAR),CC(NG STAR)
36296,44569,Kenya,2010,96,285,100,1,49,1,13,1498,958
36297,52492,Kenya,2012,1,285,100,1,22,1,100,1494,958
36298,T101,Kenya,2010,96,285,100,1,49,1,13,1498,958
36299,46445,Kenya,2011,10,,100,1,49,1,100,,
36300,T104,Kenya,,10,285,100,1,49,1,100,1054,1054
36301,T105,Kenya,,69,,100,1,22,1,13,,
36302,T106,Kenya,,98,20,100,1,49,1,100,1132,1054
39081,64204,Kenya,2014,98,20,100,1,49,1,3,1516,
39082,64500,Kenya,2014,1,285,100,1,22,1,100,1494,958
39083,64579,Kenya,2014,98,20,100,1,49,1,100,1132,1054
39084,64605,Kenya,2014,69,285,100,1,22,1,13,1543,958
39085,64680,Kenya,2014,115,285,100,1,49,1,100,1548,1054
39086,64586,Kenya,2014,98,20,100,1,49,1,14,1591,
39087,64361,Kenya,2014,1,285,100,1,22,1,13,958,958
39088,64755,Kenya,2014,98,20,100,1,49,1,100,1132,1054
39089,64203,Kenya,2014,98,20,100,1,49,1,3,1516,
39090,65080,Kenya,2014,1,285,100,1,22,1,14,960,958
39091,65318,Kenya,2014,69,285,100,1,22,1,13,1543,958
39092,65320,Kenya,2014,98,20,100,1,49,1,100,1132,1054
39093,65551,Kenya,2014,1,285,100,1,22,1,13,958,958
39094,65600,Kenya,2014,10,294,100,1,22,100,14,1890,1362
39095,65737,Kenya,2014,98,20,100,1,49,1,100,1132,1054
39096,56474,Kenya,2012,1,285,100,1,22,1,100,1494,958
39097,56327,Kenya,2012,10,294,100,7,7,1,13,1586,1603
39098,56682,Kenya,2012,10,166,100,100,7,100,100,1999,352
39099,56835,Kenya,2012,10,285,100,1,49,1,100,1054,1054
39100,57568,Kenya,2012,1,285,100,1,22,1,100,1494,958
39101,63971,Kenya,2013,1,285,100,1,22,1,100,1494,958
39102,63748,Kenya,2013,,285,100,1,49,1,14,,
39103,45858,Kenya,2010,10,285,100,1,49,1,100,1054,1054
39104,45722,Kenya,2010,18,515,100,100,2,100,14,1549,3087
39105,44941,Kenya,2010,18,515,100,100,2,100,14,1549,3087
39106,45388,Kenya,2010,116,20,100,100,2,1,100,1592,1115
39107,45715,Kenya,2010,10,285,100,1,49,1,100,1054,1054
39108,45910,Kenya,2010,10,285,100,1,49,1,100,1054,1054
39109,43208 -1,Kenya,2010,96,285,100,1,49,1,13,1498,958
39110,43208 -2,Kenya,2010,96,285,100,1,49,1,13,1498,958
39111,43210,Kenya,2010,1,285,100,1,22,1,100,1494,958
39112,44271,Kenya,2010,1,285,100,1,22,1,100,1494,958
39113,42876,Kenya,2010,57,285,100,1,49,1,100,1550,1054
39114,44254,Kenya,2010,1,285,100,1,22,1,100,1494,958
39115,43306,Kenya,2010,1,285,100,1,22,1,13,958,958
39116,46745,Kenya,2011,10,285,100,1,49,1,14,1593,1054
39117,47244,Kenya,2011,10,285,100,1,49,1,100,1054,1054
39118,47954,Kenya,2011,18,515,100,100,2,100,14,1549,3087
39119,47547,Kenya,2011,1,166,100,100,2,100,100,314,190
39120,47548,Kenya,2011,54,285,100,1,49,1,100,1551,1054
39121,48183,Kenya,2011,76,20,100,100,2,1,13,1517,1115
39122,48763,Kenya,2011,1,285,100,1,22,1,100,1494,958
39123,48437,Kenya,2011,10,166,100,100,7,100,100,1999,352
39124,48563,Kenya,2011,18,515,100,100,2,100,14,1549,3087
39125,48848,Kenya,2011,18,515,100,100,2,100,14,1549,3087
39126,48213,Kenya,2011,10,285,100,1,49,1,100,1054,1054
39127,48502,Kenya,2011,18,515,100,100,2,100,14,1549,3087
39128,48406,Kenya,2011,10,294,100,100,7,100,100,352,352
39129,50040,Kenya,2011,10,294,100,100,7,100,100,352,352
39130,49506,Kenya,2011,10,285,100,1,49,1,14,1593,1054
39131,49676,Kenya,2011,10,294,100,100,7,100,100,352,352
39132,49719,Kenya,2011,10,285,100,1,49,1,100,1054,1054
39133,50869,Kenya,2011,10,294,100,100,2,100,100,463,352
39134,51751,Kenya,2011,10,228,100,1,49,1,100,1583,1054
39135,52057,Kenya,2012,101,294,100,100,7,1,3,1585,
39136,52441,Kenya,2012,18,294,100,,2,100,100,,
39137,65907,Kenya,2015,57,17,100,100,2,100,3,1515,520
39138,66098,Kenya,2015,98,20,100,1,49,1,13,1518,
39139,42978,Kenya,2010,10,285,100,1,49,1,100,1054,1054
59511,KNY_NGAMR/9,Kenya,2016,10,294,100,7,22,100,14,2660,1362
60436,KNY_NGAMR/1,Kenya,2014,57,294,100,1,2,100,13,2661,
60437,KNY_NGAMR9p,Kenya,2016,10,294,100,7,22,100,14,2660,1362
60439,KNY_NGAMR26,Kenya,2016,10,294,100,1,22,100,14,1890,1362
60440,KNY_NGAMR27,Kenya,2016,57,294,100,1,22,100,100,3178,1362
60441,KNY_NGAMR30p,Kenya,2017,10,294,100,7,7,1,14,2170,1603
60442,KNY_NGAMR33,Kenya,2016,10,294,100,1,22,100,14,1890,1362
60501,KNY_NGAMR2,Kenya,2014,19,23,100,100,2,1,4,2050,1115
60502,KNY_NGAMR3,Kenya,2014,10,285,100,1,49,1,100,1054,1054
60503,KNY_NGAMR4,Kenya,2016,54,228,100,100,1,100,3,2664,42
60504,KNY_NGAMR5,Kenya,2015,229,285,100,1,22,1,19,2665,958
60505,KNY_NGAMR6,Kenya,2015,10,23,100,1,22,100,100,1271,1271
60506,KNY_NGAMR7,Kenya,2015,98,20,100,1,49,1,3,1516,
60507,KNY_NGAMR8,Kenya,2015,10,294,100,7,7,1,13,1586,1603
60508,KNY_NGAMR10,Kenya,2016,343,23,100,1,22,100,100,3186,1271
60509,KNY_NGAMR11,Kenya,2016,10,294,100,7,7,1,13,1586,1603
60510,KNY_NGAMR23,Kenya,2014,10,285,100,7,49,1,13,2666,1054
60511,KNY_NGAMR14,Kenya,2013,10,23,100,1,22,100,3,1255,1271
60512,KNY_NGAMR20,Kenya,2014,10,285,100,7,49,1,13,2666,1054
60513,KNY_NGAMR17,Kenya,2016,18,20,100,1,49,1,100,2667,1054
60514,KNY_NGAMR18,Kenya,2014,54,228,100,1,49,100,100,2668,
60515,KNY_NGAMR19,Kenya,2015,230,294,100,1,49,1,100,2669,1054
60516,KNY_NGAMR15,Kenya,2016,10,294,100,7,7,1,14,2170,1603
60517,KNY_NGAMR21,Kenya,2015,10,294,100,7,7,1,13,1586,1603
60518,KNY_NGAMR22,Kenya,2015,54,228,100,1,49,100,100,2668,
60519,KNY_NGAMR13,Kenya,2016,10,294,100,7,7,1,13,1586,1603
60520,KNY_NGAMR24,Kenya,2014,54,228,100,1,49,100,100,2668,
60521,KNY_NGAMR28,Kenya,2017,10,23,100,7,22,100,14,3184,1271
60522,KNY_NGAMR29,Kenya,2017,10,294,100,1,111,1,14,3179,
60523,KNY_NGAMR31,Kenya,2017,10,23,100,1,22,100,13,3183,1271
60524,KNY_NGAMR32,Kenya,2017,10,294,100,7,22,1,13,1603,1603
60525,KNY_NGAMR35,Kenya,2013,10,23,100,1,22,100,100,1271,1271
60526,KNY_NGAMR41,Kenya,2018,54,228,100,1,49,100,100,2668,
60527,KNY_NGAMR42,Kenya,2018,18,294,100,,2,100,100,,
60528,KNY_NGAMR50,Kenya,2018,10,23,100,7,22,100,13,3185,426
60530,KNY_NGAMR53,Kenya,2018,10,294,100,1,111,1,14,3179,
60531,KNY_NGAMR54,Kenya,2018,10,20,100,1,22,100,100,3182,1271
61382,IC_CNR077,Ivory Coast,2012,10,228,100,5,7,100,3,2674,
61383,IC_15039,Ivory Coast,2012,10,294,100,3,2,100,3,2675,42
89182,15MUS-Pl003,South Africa,2015,,,,,,,,,
89183,15MUS-Pl044,South Africa,2015,,,,,,,,,
89185,15MUS-Pl098,South Africa,2015,,,,,,,,,
89186,17MUS-AH083,South Africa,2017,,,,,,,,,
89187,17MUS-AH094,South Africa,2017,,,,,,,,,
89188,17MUS-AH118,South Africa,2017,,,,,,,,,
89189,17MUS-AH035,South Africa,2017,,,,,,,,,
89190,15MUS-PI063,South Africa,2015,,,,,,,,,
89194,17MUS-AH070,South Africa,2017,,,,,,,,,
89195,15MUS-PI091,South Africa,2015,,,,,,,,,
89196,17MUS-AH060,South Africa,2017,,,,,,,,,
89197,15MUS-PI005,South Africa,2015,,,,,,,,,
89198,15MUS-PI092,South Africa,2015,,,,,,,,,
89199,17MUS-AH077,South Africa,2017,,,,,,,,,
89200,17MUS-AH017,South Africa,2017,,,,,,,,,
92898,JR-409,South Africa,2019,,,,,,,,,
92899,JR-413,South Africa,2019,,,,,,,,,
92900,JR-414,South Africa,2019,,,,,,,,,
92901,JR-412,South Africa,2018,,,,,,,,,
92902,JR-403,South Africa,2019,,,,,,,,,
92903,JR-401,South Africa,2019,,,,,,,,,
93214,G176,South Africa,2019,,,,,,,,,
95771,GHA-ADB-055,Ghana,2014,18,23,100,1,18,100,100,464,896
95772,GHA-ADB-088,Ghana,2014,19,287,100,7,8,1,23,3366,
95773,GHA-ADB-095,Ghana,2014,10,23,100,100,100,100,13,3354,2035
95774,GHA-ADB-099,Ghana,2014,19,287,100,7,8,1,23,3366,
95775,GHA-ADB-129,Ghana,2014,89,2563,100,7,8,100,23,3371,
95776,GHA-ADB-135,Ghana,2014,18,23,100,100,2,100,100,893,1958
95777,GHA-ADB-191,Ghana,2015,194,294,100,7,22,1,13,3363,1603
95778,GHA-ADB-216,Ghana,2015,10,294,100,100,100,100,3,157,42
95779,GHA-ADB-230,Ghana,2015,377,266,100,1,3,1,11,3372,90
95780,GHA-ARM-046,Ghana,2013,16,23,100,7,64,1,13,3355,
95781,GHA-ARM-069,Ghana,2013,379,294,100,100,1,100,3,3364,42
95782,GHA-ARM-073,Ghana,2013,379,294,100,47,1,100,3,3365,42
95783,GHA-ARM-106,Ghana,2014,19,287,100,7,8,1,23,3366,
95784,GHA-ARM-127,Ghana,2014,1,166,100,1,10,100,13,3352,
95785,GHA-ARM-163,Ghana,2015,19,287,100,7,8,1,23,3366,
95786,GHA-ARM-165,Ghana,2015,19,287,100,7,8,1,23,3366,
95787,GHA-NAV-029,Ghana,2019,19,287,100,7,8,1,23,3366,
95788,GHA-NAV-031,Ghana,2019,19,287,100,7,8,1,23,3366,
95789,GHA-NAV-040,Ghana,2014,194,294,100,7,22,1,13,3363,1603
95790,GHA-TMH-040,Ghana,2012,10,23,100,100,2,100,14,308,2035
95791,GHA-TMH-042,Ghana,2012,18,23,100,1,18,100,100,464,896
95792,GHA-TMH-050,Ghana,2012,18,23,100,1,18,100,100,464,896
95793,GHA-TMH-067,Ghana,2012,18,23,100,1,18,100,100,464,896
95794,GHA-TMH-068,Ghana,2012,19,287,100,7,8,1,23,3366,
95795,GHA-TMH-074,Ghana,2012,18,23,100,1,18,100,100,464,896
95796,GHA-TMH-455,Ghana,2015,18,23,100,1,18,100,100,464,896
95797,GHA-TMH-458,Ghana,2015,18,23,100,1,3,1,14,1215,
95798,GHA-TMH-462,Ghana,2015,18,23,100,1,3,1,14,1215,
95799,GHA-TMH-465,Ghana,2015,35,21,100,100,7,1,12,3357,
95800,GHA-TMH-484,Ghana,2015,18,23,100,1,18,100,100,464,896
95801,GHA-TMH-537,Ghana,2015,18,23,100,1,18,100,14,891,896
95802,GHA-ADB-284,Ghana,2018,378,21,100,7,150,1,3,3361,
95803,GHA-ADB-297,Ghana,2018,378,21,100,7,150,1,14,3362,
95804,GHA-ADB-340,Ghana,2019,10,228,100,1,49,1,13,3367,1054
95805,GHA-ADB-342,Ghana,2019,18,23,100,1,18,100,100,464,896
95806,GHA-ADB-347,Ghana,2019,173,21,100,7,150,1,13,3360,
95807,GHA-ADB-348,Ghana,2019,378,21,100,7,150,1,3,3361,
95808,GHA-ADB-360,Ghana,2019,25,166,100,1,4,100,8,438,
95809,GHA-ADB-369,Ghana,2019,18,23,100,1,3,1,14,1215,
95810,GHA-AIR-053,Ghana,2019,38,228,100,7,26,1,12,567,247
95811,GHA-AIR-057,Ghana,2019,135,228,100,7,15,1,13,5230,1096
95812,GHA-AIR-058,Ghana,2019,38,228,100,7,26,1,12,567,247
95813,GHA-ARM-233,Ghana,2018,18,23,100,1,3,1,14,1215,
95814,GHA-ARM-285,Ghana,2019,378,21,100,7,150,1,3,3361,
95815,GHA-ARM-288,Ghana,2019,173,21,100,7,150,1,3,3359,
95816,GHA-ARM-299,Ghana,2019,378,21,100,7,150,1,3,3361,
95817,GHA-TMH-588,Ghana,2018,38,228,100,7,26,1,12,567,247
95818,GHA-TMH-594,Ghana,2018,380,166,100,1,10,100,13,3353,
95819,GHA-TMH-612,Ghana,2018,135,228,100,7,3,1,100,3369,309
95820,GHA-TMH-619,Ghana,2018,1,166,100,1,10,100,13,3352,
95821,GHA-TMH-624,Ghana,2018,173,21,100,7,150,1,3,3359,
96169,R3,South Africa,2013,10,23,100,1,89,1,100,3413,1054
96170,R6,South Africa,2013,10,294,100,100,2,100,3,1021,42
96171,R48,South Africa,2014,10,294,100,100,2,1,14,3415,
96172,R59,South Africa,2014,387,2993,100,100,1,100,100,3434,20
96173,R63,South Africa,2014,387,2993,100,100,1,100,100,3434,20
96174,R73,South Africa,2014,105,294,100,100,100,1,100,3418,
97776,GENT058_YB,Malawi,2018,,,,,,,,,
97777,GENT067,Malawi,2018,,,,,,,,,
97778,GENT068,Malawi,2018,,,,,,,,,
97779,GENT070,Malawi,2018,,,,,,,,,
97780,GENT092,Malawi,2018,,,,,,,,,
97781,GENT096,Malawi,2018,,,,,,,,,
97782,GENT135,Malawi,2018,,,,,,,,,
97783,GENT143,Malawi,2018,,,,,,,,,
97784,GENT146,Malawi,2018,,,,,,,,,
105972,18,Kenya,2012,,,,,,,,,
105973,61,Kenya,2012,,,,,,,,,
105974,3,Kenya,2012,,,,,,,,,
105975,12,Kenya,2012,,,,,,,,,
105976,57,Kenya,2012,,,,,,,,,
105977,100A,Kenya,2012,,,,,,,,,
105978,240,Kenya,2012,,,,,,,,,
105979,274,Kenya,2012,,,,,,,,,
105980,285,Kenya,2012,,,,,,,,,
105981,298,Kenya,2012,,,,,,,,,
106122,1107_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106123,1284_Kenya,Kenya,2016,54,294,100,7,7,1,3,5229,
106124,1912_Kenya,Kenya,2016,10,23,100,1,22,100,100,1271,1271
106125,1912-5_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106126,2086_Kenya,Kenya,2018,10,294,100,7,7,1,3,4692,1603
106127,2172_Kenya,Kenya,2016,76,294,100,1,22,1,3,1205,
106128,2245_Kenya,Kenya,2017,10,166,100,1,22,100,100,4825,1271
106129,2250_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106130,2320_Kenya,Kenya,2016,10,23,100,1,22,100,13,3183,1271
106131,2350_Kenya,Kenya,2016,673,228,100,1,211,100,11,,
106132,2372_Kenya,Kenya,2016,54,228,100,1,211,100,11,,
106133,2416_Kenya,Kenya,2018,57,294,100,1,22,100,100,3178,1362
106134,2435_Kenya,Kenya,2016,10,285,100,1,49,1,100,1054,1054
106135,2438_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106136,2533_Kenya,Kenya,2016,476,294,100,1,22,100,14,6274,1362
106137,2537_Kenya,Kenya,2016,10,294,100,1,22,100,14,1890,1362
106138,2560_Kenya,Kenya,2016,98,20,100,1,49,1,100,1132,1054
106139,2564_Kenya,Kenya,2018,10,294,100,7,7,1,14,2170,1603
106140,2628_Kenya,Kenya,2017,10,294,100,7,7,1,3,4692,1603
106141,2643_Kenya,Kenya,2016,10,166,100,1,22,100,100,4825,1271
106142,2664_Kenya,Kenya,2016,10,294,100,1,22,100,14,1890,1362
106143,2665_Kenya,Kenya,2017,10,23,100,1,22,100,14,3409,1271
106144,2665-25_Kenya,Kenya,2017,10,23,100,1,22,100,14,3409,1271
106145,2687_Kenya,Kenya,2016,10,294,100,1,111,100,100,6275,1362
106146,2694_Kenya,Kenya,2016,75,20,100,1,49,1,100,6252,1054
106147,2695_Kenya,Kenya,2016,75,20,100,1,49,1,100,6252,1054
106148,2699_Kenya,Kenya,2018,1,294,100,1,22,100,19,6276,1362
106149,2710_Kenya,Kenya,2018,98,23,100,1,49,1,100,6206,1054
106150,2728_Kenya,Kenya,2018,57,294,100,1,22,100,100,3178,1362
106151,2730_Kenya,Kenya,2017,337,228,100,1,211,100,11,,
106152,2783_Kenya,Kenya,2016,10,285,100,7,49,1,100,4826,1054
106153,2796_Kenya,Kenya,2019,29,294,100,1,7,100,1,1903,178
106154,2801_Kenya,Kenya,2016,98,20,100,1,49,1,100,1132,1054
106155,2822_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106156,2852_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106157,2875_Kenya,Kenya,2017,89,23,100,7,4,100,13,714,426
106158,2901_Kenya,Kenya,2017,57,294,100,1,22,100,100,3178,1362
106159,2903_Kenya,Kenya,2018,76,294,100,1,22,1,3,1205,
106160,2921_Kenya,Kenya,2017,10,294,100,1,22,100,14,1890,1362
106161,2932_Kenya,Kenya,2017,10,294,100,7,7,1,13,1586,1603
106162,3103_Kenya,Kenya,2019,337,228,100,1,211,100,13,,
106163,3107_Kenya,Kenya,2019,674,23,100,1,22,100,100,,
106164,3140_Kenya,Kenya,2020,10,294,100,7,7,1,3,4692,1603
106165,3313_Kenya,Kenya,2020,89,23,100,7,4,100,3,1661,426
106166,00N210012_Kenya,Kenya,2019,89,23,100,7,4,100,13,714,426
106167,33100099_Kenya,Kenya,2020,54,228,100,1,211,100,11,,
109097,SA2018-601,South Africa,2018,278,228,100,100,103,100,100,1942,
109098,SA2018-602,South Africa,2018,280,23,100,1,4,1,14,1946,
109099,SA2018-603,South Africa,2018,69,285,100,1,22,1,14,4746,958
109100,SA2018-604,South Africa,2018,18,23,100,1,4,1,14,1934,
109101,SA2018-605,South Africa,2018,18,228,100,7,102,1,3,1935,433
109102,SA2018-606,South Africa,2018,18,228,100,7,102,1,3,1935,433
109103,SA2018-607,South Africa,2018,,,100,1,22,1,19,,
109104,SA2018-609,South Africa,2018,10,285,100,1,55,1,13,4716,958
109105,SA2018-610,South Africa,2018,279,,100,7,15,1,100,,
109106,SA2018-611,South Africa,2018,,17,100,7,26,1,14,,
109107,SA2018-612,South Africa,2018,10,23,100,1,89,100,3,1929,1771
109108,SA2018-613,South Africa,2018,277,294,100,1,4,100,13,4735,
109109,SA2018-614,South Africa,2018,40,23,100,7,4,100,100,427,427
109110,SA2018-615,South Africa,2018,171,166,100,1,90,100,13,4728,
109111,SA2019-810,South Africa,2019,130,294,100,100,2,100,3,520,520
109112,SA2019-812,South Africa,2019,40,23,100,7,4,100,3,1938,426
109113,SA2019-813,South Africa,2019,276,285,100,1,49,1,14,1943,1054
109114,SA2019-814,South Africa,2019,280,23,100,1,4,1,14,1946,
109115,SA2019-815,South Africa,2019,,,100,,2,1,8,,
109116,SA2019-816,South Africa,2019,,228,100,7,26,1,3,,
109117,SA2019-817,South Africa,2019,1,285,100,100,2,1,8,139,139
109118,SA2019-818,South Africa,2019,276,285,100,1,49,1,14,1943,1054
109119,SA2019-819,South Africa,2019,69,285,100,1,22,1,19,1623,958
109120,SA2018-820,South Africa,2018,18,228,100,100,89,1,100,1936,1632
109121,SA2018-821,South Africa,2018,10,23,100,1,102,100,3,1930,1771
111732,GHA-TMH-633,Ghana,2018,194,228,100,7,26,1,12,3370,247
111733,GHA-TMH-657,Ghana,2019,18,228,100,7,151,1,14,3368,1632
111734,GHA-TMH-663,Ghana,2019,378,21,100,7,150,1,3,3361,
111735,GHA-TMH-679,Ghana,2019,10,23,100,7,22,100,100,,
111736,GHA-TMH-685,Ghana,2019,18,23,100,1,3,1,14,1215,
115183,19MUS-SR081,South Africa,2019,,,,,,,,,
115184,21MUS-AH021,South Africa,2021,,,,,,,,,
115185,21MUS-AH105,South Africa,2021,,,,,,,,,
116222,UG010,Uganda,2018,97,285,100,1,49,1,100,1537,1054
116223,UG117,Uganda,2018,10,294,100,7,22,100,13,4733,1603
116224,UG182,Uganda,2018,503,294,100,1,49,1,100,4674,1054
116225,UG197,Uganda,2018,10,294,100,1,22,100,100,1362,1362
116226,UG245,Uganda,2018,10,294,100,7,7,100,100,4703,352
