id,isolate,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LIN1,LIN2,LIN3,LIN4
36286,T083,1112,0_0_47_5_9_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
36287,43781,1113,0_0_47_9_0_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_9
36288,T087,,,,,,
36289,42974,1114,0_0_47_5_11_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
36290,47983,1115,0_0_47_5_8_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
36291,60755,1116; 9806,0_0_33_45_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_45
36292,60709,1117,0_0_47_10_1_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
36293,43000,1118,0_0_47_9_0_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_9
36294,43038,1119,0_0_47_9_0_0_0_0_1_0_0,0,0_0,0_0_47,0_0_47_9
36295,46146,1120,0_0_47_12_0_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_12
36296,44569,1121,0_0_47_9_0_1_0_0_0_1_0,0,0_0,0_0_47,0_0_47_9
36297,52492,1122,0_0_47_5_6_0_0_0_1_0_0,0,0_0,0_0_47,0_0_47_5
36298,T101,1123,0_0_47_9_0_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_9
36299,46445,1124,0_16_0_1_0_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
36300,T104,1125,0_16_0_2_2_0_0_0_0_1_0,0,0_16,0_16_0,0_16_0_2
36301,T105,1126,0_0_47_10_1_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
36302,T106,1127,0_16_4_0_1_1_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39081,64204,1703,0_16_4_0_3_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39082,64500,1704,0_0_47_5_6_0_1_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39083,64579,1705,0_16_4_0_1_2_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39084,64605,1706,0_0_47_10_1_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
39085,64680,1707,0_16_0_1_11_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39086,64586,1708,0_16_4_0_8_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39087,64361,1709,0_0_47_5_12_0_0_1_0_0_0,0,0_0,0_0_47,0_0_47_5
39088,64755,1710,0_16_4_0_1_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39089,64203,1703,0_16_4_0_3_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39090,65080,1711,0_0_47_5_0_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39091,65318,1706,0_0_47_10_1_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
39092,65320,1712,0_16_4_0_6_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39093,65551,1713,0_0_47_5_12_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39094,65600,1714,1_1_34_0_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_0
39095,65737,1715,0_16_4_0_2_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39096,56474,1716,0_0_47_5_6_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39097,56327,1717,0_0_33_45_1_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_45
39098,56682,1718,1_1_29_0_1_0_0_0_0_0_0,1,1_1,1_1_29,1_1_29_0
39099,56835,1719,0_16_0_1_2_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39100,57568,1720,0_0_47_5_6_0_0_0_0_1_0,0,0_0,0_0_47,0_0_47_5
39101,63971,,,,,,
39102,63748,,,,,,
39103,45858,1721,0_16_0_2_2_1_0_0_0_2_0,0,0_16,0_16_0,0_16_0_2
39104,45722,1722,0_18_6_1_0_0_0_0_0_0_0,0,0_18,0_18_6,0_18_6_1
39105,44941,1723,0_18_6_1_1_0_0_0_0_0_0,0,0_18,0_18_6,0_18_6_1
39106,45388,1724,0_16_1_0_0_0_0_0_0_0_0,0,0_16,0_16_1,0_16_1_0
39107,45715,1725,0_16_0_1_0_2_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39108,45910,1726,0_16_0_2_2_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
39109,43208 -1,1073; 1113; 1123; 1727,0_0_47_9_0_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_9
39110,43208 -2,1073; 1113; 1123; 1727,0_0_47_9_0_1_0_0_0_0_0,0,0_0,0_0_47,0_0_47_9
39111,43210,1728,0_0_47_5_7_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39112,44271,1112,0_0_47_5_9_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39113,42876,1729,0_16_0_1_1_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39114,44254,1730,0_0_47_5_7_0_0_0_0_1_0,0,0_0,0_0_47,0_0_47_5
39115,43306,1731,0_0_47_5_10_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_5
39116,46745,1732,0_16_0_2_6_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
39117,47244,1109; 1733,0_16_0_2_2_1_0_0_0_3_0,0,0_16,0_16_0,0_16_0_2
39118,47954,1088; 1090,0_18_6_1_0_0_0_0_0_1_0,0,0_18,0_18_6,0_18_6_1
39119,47547,1734,0_2_42_0_0_0_0_0_0_0_0,0,0_2,0_2_42,0_2_42_0
39120,47548,1735,0_16_0_2_3_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
39121,48183,1736,0_16_1_1_0_0_0_0_0_0_0,0,0_16,0_16_1,0_16_1_1
39122,48763,1737,0_0_47_15_0_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_15
39123,48437,1738,1_1_29_0_0_0_0_0_0_0_0,1,1_1,1_1_29,1_1_29_0
39124,48563,1088; 1090,0_18_6_1_0_0_0_0_0_1_0,0,0_18,0_18_6,0_18_6_1
39125,48848,1739,0_18_6_1_0_0_0_0_0_2_0,0,0_18,0_18_6,0_18_6_1
39126,48213,1091,0_16_0_1_8_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39127,48502,1088; 1090,0_18_6_1_0_0_0_0_0_1_0,0,0_18,0_18_6,0_18_6_1
39128,48406,1067; 1740,1_1_11_1_0_0_0_0_0_0_0,1,1_1,1_1_11,1_1_11_1
39129,50040,1067; 1740,1_1_11_1_0_0_0_0_0_0_0,1,1_1,1_1_11,1_1_11_1
39130,49506,1086; 1741,0_16_0_1_4_1_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39131,49676,1742,1_1_11_1_0_0_0_0_0_1_0,1,1_1,1_1_11,1_1_11_1
39132,49719,1743,0_16_0_2_2_1_0_0_1_0_0,0,0_16,0_16_0,0_16_0_2
39133,50869,1744,1_1_12_0_0_0_0_0_0_0_0,1,1_1,1_1_12,1_1_12_0
39134,51751,1071; 1745,0_16_0_1_5_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
39135,52057,1095; 1746,0_16_0_6_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_6
39136,52441,,,,,,
39137,65907,1747,16_0_0_0_0_0_0_0_0_0_0,16,16_0,16_0_0,16_0_0_0
39138,66098,1748,0_16_4_0_9_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
39139,42978,1749,0_16_0_2_2_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_2
59511,KNY_NGAMR/9,,,,,,
60436,KNY_NGAMR/1,4535; 41641,11_0_2_1_0_0_0_0_0_0_0,11,11_0,11_0_2,11_0_2_1
60437,KNY_NGAMR9p,4536; 25820,0_2_55_2_0_0_0_0_0_0_0,0,0_2,0_2_55,0_2_55_2
60439,KNY_NGAMR26,,,,,,
60440,KNY_NGAMR27,,,,,,
60441,KNY_NGAMR30p,4537; 40235,0_0_33_56_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_56
60442,KNY_NGAMR33,4538; 31841,1_1_34_0_2_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_0
60501,KNY_NGAMR2,4562; 32805; 41642,4_0_1_0_0_0_0_0_0_0_0,4,4_0,4_0_1,4_0_1_0
60502,KNY_NGAMR3,4563,0_16_0_1_10_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
60503,KNY_NGAMR4,4564; 32806,0_0_36_0_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_0
60504,KNY_NGAMR5,4565; 26443; 32807,0_0_47_10_0_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_10
60505,KNY_NGAMR6,4566; 32808,0_2_55_0_1_0_0_0_0_0_0,0,0_2,0_2_55,0_2_55_0
60506,KNY_NGAMR7,4567,0_16_4_0_0_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
60507,KNY_NGAMR8,4568; 32809,0_0_33_46_1_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
60508,KNY_NGAMR10,4569,0_9_0_5_3_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
60509,KNY_NGAMR11,4570; 25937; 26701; 32810,0_0_33_46_2_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
60510,KNY_NGAMR23,4571; 32811; 38653,0_0_33_55_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_55
60511,KNY_NGAMR14,,,,,,
60512,KNY_NGAMR20,4571; 4572; 32811; 32812; 38653; 38654,0_0_33_55_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_55
60513,KNY_NGAMR17,4573,0_16_4_0_11_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
60514,KNY_NGAMR18,4574; 41643,0_0_36_2_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_2
60515,KNY_NGAMR19,4575,0_16_0_4_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_4
60516,KNY_NGAMR15,4576,0_0_33_46_5_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
60517,KNY_NGAMR21,4577,0_0_33_54_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_54
60518,KNY_NGAMR22,,,,,,
60519,KNY_NGAMR13,4578,0_0_33_46_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
60520,KNY_NGAMR24,,,,,,
60521,KNY_NGAMR28,,,,,,
60522,KNY_NGAMR29,4579; 25938; 26702; 32813,1_1_34_1_1_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_1
60523,KNY_NGAMR31,4580; 32814,0_9_0_6_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_6
60524,KNY_NGAMR32,4581,0_0_33_50_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_50
60525,KNY_NGAMR35,32815,0_9_0_5_23_1_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
60526,KNY_NGAMR41,,,,,,
60527,KNY_NGAMR42,,,,,,
60528,KNY_NGAMR50,,,,,,
60530,KNY_NGAMR53,4582,1_1_34_1_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_1
60531,KNY_NGAMR54,4583,0_0_36_4_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
61382,IC_CNR077,38233; 44430,1_1_17_26_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_26
61383,IC_15039,4640; 41644,1_1_17_7_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_7
95771,GHA-ADB-055,9087; 44568,0_0_18_7_0_1_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95772,GHA-ADB-088,9088,0_10_0_2_0_1_0_0_0_0_0,0,0_10,0_10_0,0_10_0_2
95773,GHA-ADB-095,,,,,,
95774,GHA-ADB-099,9089,0_10_0_2_0_0_0_0_0_1_0,0,0_10,0_10_0,0_10_0_2
95775,GHA-ADB-129,9090,0_0_39_0_0_0_0_0_0_0_0,0,0_0,0_0_39,0_0_39_0
95776,GHA-ADB-135,9091,11_0_0_0_1_0_0_0_0_0_0,11,11_0,11_0_0,11_0_0_0
95777,GHA-ADB-191,9092; 44569,0_0_33_46_10_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
95778,GHA-ADB-216,9093; 33258; 41715,1_1_27_4_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_4
95779,GHA-ADB-230,9094,0_2_0_1_197_0_0_0_0_0_0,0,0_2,0_2_0,0_2_0_1
95780,GHA-ARM-046,,,,,,
95781,GHA-ARM-069,9095,0_0_38_0_0_0_0_0_0_0_0,0,0_0,0_0_38,0_0_38_0
95782,GHA-ARM-073,9096,0_0_38_0_0_0_0_0_1_0_0,0,0_0,0_0_38,0_0_38_0
95783,GHA-ARM-106,9097,0_10_0_2_0_0_0_0_1_0_0,0,0_10,0_10_0,0_10_0_2
95784,GHA-ARM-127,9098,0_2_13_0_0_0_0_0_0_0_0,0,0_2,0_2_13,0_2_13_0
95785,GHA-ARM-163,9099,0_10_0_2_0_0_1_0_0_0_0,0,0_10,0_10_0,0_10_0_2
95786,GHA-ARM-165,9100,0_10_0_2_0_0_1_0_0_0_0,0,0_10,0_10_0,0_10_0_2
95787,GHA-NAV-029,9097,0_10_0_2_0_0_0_0_1_0_0,0,0_10,0_10_0,0_10_0_2
95788,GHA-NAV-031,9097,0_10_0_2_0_0_0_0_1_0_0,0,0_10,0_10_0,0_10_0_2
95789,GHA-NAV-040,9101,0_0_33_46_11_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_46
95790,GHA-TMH-040,9102; 26995,1_1_15_1_0_0_0_0_0_0_0,1,1_1,1_1_15,1_1_15_1
95791,GHA-TMH-042,9103; 44570,0_0_18_7_0_0_0_0_1_0_0,0,0_0,0_0_18,0_0_18_7
95792,GHA-TMH-050,9104; 38725,0_0_18_7_3_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95793,GHA-TMH-067,9105; 44571,0_0_18_7_1_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95794,GHA-TMH-068,9106,0_10_0_2_0_0_0_0_0_0_0,0,0_10,0_10_0,0_10_0_2
95795,GHA-TMH-074,9107; 29585; 44572,0_0_18_7_0_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95796,GHA-TMH-455,9108; 44573,0_0_18_7_2_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95797,GHA-TMH-458,9109,0_12_6_0_0_1_0_0_0_0_0,0,0_12,0_12_6,0_12_6_0
95798,GHA-TMH-462,9110,0_12_6_0_0_0_0_0_0_0_0,0,0_12,0_12_6,0_12_6_0
95799,GHA-TMH-465,9111; 26996,0_0_11_0_0_0_0_0_0_0_0,0,0_0,0_0_11,0_0_11_0
95800,GHA-TMH-484,9112; 38726,0_0_18_7_4_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95801,GHA-TMH-537,9113,0_0_18_7_9_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_7
95802,GHA-ADB-284,9114,0_0_11_1_0_2_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95803,GHA-ADB-297,9115; 31982,0_0_11_1_0_3_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95804,GHA-ADB-340,9116,0_16_0_5_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_5
95805,GHA-ADB-342,9117; 33259; 41716,11_0_0_1_0_0_0_0_0_0_0,11,11_0,11_0_0,11_0_0_1
95806,GHA-ADB-347,9118,0_0_11_1_3_0_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95807,GHA-ADB-348,9119,0_0_11_1_1_0_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95808,GHA-ADB-360,9120,0_2_21_0_1_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
95809,GHA-ADB-369,9121; 31983; 40453,0_12_6_0_1_0_0_0_0_0_0,0,0_12,0_12_6,0_12_6_0
95810,GHA-AIR-053,,,,,,
95811,GHA-AIR-057,9122,0_0_33_12_12_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
95812,GHA-AIR-058,9123,0_0_33_12_9_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
95813,GHA-ARM-233,9124,0_12_6_0_0_2_0_0_0_0_0,0,0_12,0_12_6,0_12_6_0
95814,GHA-ARM-285,9125; 41289,0_0_11_1_0_1_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95815,GHA-ARM-288,9126; 25839,0_0_11_1_0_4_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95816,GHA-ARM-299,9127,0_0_11_1_2_0_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
95817,GHA-TMH-588,9128,0_0_33_12_5_1_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
95818,GHA-TMH-594,9129; 26997,0_2_13_0_1_0_0_0_0_0_0,0,0_2,0_2_13,0_2_13_0
95819,GHA-TMH-612,9130,0_0_33_12_6_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
95820,GHA-TMH-619,9131; 26998; 31984,0_2_13_0_0_1_0_0_0_0_0,0,0_2,0_2_13,0_2_13_0
95821,GHA-TMH-624,9132,0_0_11_1_0_0_0_0_0_0_0,0,0_0,0_0_11,0_0_11_1
96169,R3,9176; 33260,0_0_25_2_0_0_0_0_0_0_0,0,0_0,0_0_25,0_0_25_2
96170,R6,9177; 26999; 33261,1_1_17_4_3_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
96171,R48,9178; 26118; 27000; 44575,0_16_5_0_0_0_0_0_0_0_0,0,0_16,0_16_5,0_16_5_0
96172,R59,26790; 44576,57_0_0_1_0_0_0_0_0_0_0,57,57_0,57_0_0,57_0_0_1
96173,R63,44418,57_0_0_1_2_0_0_0_0_0_0,57,57_0,57_0_0,57_0_0_1
96174,R73,26791,1_1_27_2_2_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_2
106122,1107_Kenya,9757,0_0_33_48_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_48
106123,1284_Kenya,9758; 33347,0_0_33_58_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_58
